Data;Aperto;Alto;Basso;Chiusura*;Chiusura aggiustata**;Volume
01 mar 2023;250,76;250,93;245,79;246,27;246,27;27.501.900
28 feb 2023;249,07;251,49;248,73;249,42;249,42;22.491.000
27 feb 2023;252,46;252,82;249,39;250,16;250,16;21.190.000
24 feb 2023;249,96;251,00;248,10;249,22;249,22;24.990.900
23 feb 2023;255,56;256,84;250,48;254,77;254,77;29.219.100
22 feb 2023;254,09;254,34;250,34;251,51;251,51;22.491.100
21 feb 2023;254,48;255,49;251,59;252,67;252,67;28.397.400
17 feb 2023;259,39;260,09;256,00;258,06;258,06;29.979.600
16 feb 2023;264,02;266,74;261,90;262,15;262,15;29.603.600
15 feb 2023;268,32;270,73;266,18;269,32;269,32;28.962.200
14 feb 2023;272,67;274,97;269,28;272,17;271,49;37.047.900
13 feb 2023;267,64;274,60;267,15;271,32;270,64;44.630.900
10 feb 2023;261,53;264,09;260,66;263,10;262,44;25.760.900
09 feb 2023;273,80;273,98;262,80;263,62;262,96;42.375.100
08 feb 2023;273,20;276,76;266,21;266,73;266,06;54.686.000
07 feb 2023;260,53;268,77;260,08;267,56;266,89;50.841.400
06 feb 2023;257,44;258,30;254,78;256,77;256,13;22.518.000
03 feb 2023;259,54;264,20;257,10;258,35;257,70;29.062.300
02 feb 2023;258,82;264,69;257,25;264,60;263,94;39.940.400
01 feb 2023;248,00;255,18;245,47;252,75;252,12;31.259.900
31 gen 2023;243,45;247,95;242,95;247,81;247,19;26.541.100
30 gen 2023;244,51;245,60;242,20;242,71;242,10;25.867.400
27 gen 2023;248,99;249,83;246,83;248,16;247,54;26.480.800
26 gen 2023;243,65;248,31;242,00;248,00;247,38;33.454.500
25 gen 2023;234,48;243,30;230,90;240,61;240,01;66.526.600
24 gen 2023;242,50;243,95;240,44;242,04;241,44;40.234.400
23 gen 2023;241,10;245,17;239,65;242,58;241,97;31.934.000
20 gen 2023;234,86;240,74;234,51;240,22;239,62;35.323.400
19 gen 2023;233,78;235,52;230,68;231,93;231,35;28.623.000
18 gen 2023;241,57;242,38;235,52;235,81;235,22;30.028.700
17 gen 2023;237,97;240,91;237,09;240,35;239,75;29.831.300
13 gen 2023;237,00;239,37;234,92;239,23;238,63;21.317.700
12 gen 2023;235,26;239,90;233,56;238,51;237,91;27.269.500
11 gen 2023;231,29;235,95;231,11;235,77;235,18;28.669.300
10 gen 2023;227,76;231,31;227,33;228,85;228,28;27.033.900
09 gen 2023;226,45;231,24;226,41;227,12;226,55;27.369.800
06 gen 2023;223,00;225,76;219,35;224,93;224,37;43.597.700
05 gen 2023;227,20;227,55;221,76;222,31;221,75;39.585.600
04 gen 2023;232,28;232,87;225,96;229,10;228,53;50.623.400
03 gen 2023;243,08;245,75;237,40;239,58;238,98;25.740.000
30 dic 2022;238,21;239,96;236,66;239,82;239,22;21.930.800
29 dic 2022;235,65;241,92;235,65;241,01;240,41;19.770.700
28 dic 2022;236,89;239,72;234,17;234,53;233,94;17.457.100
27 dic 2022;238,70;238,93;235,83;236,96;236,37;16.688.600
23 dic 2022;236,11;238,87;233,94;238,73;238,13;21.207.000
22 dic 2022;241,26;241,99;233,87;238,19;237,59;28.651.700
21 dic 2022;241,69;245,62;240,11;244,43;243,82;23.690.600
20 dic 2022;239,40;242,91;238,42;241,80;241,20;25.150.800
19 dic 2022;244,86;245,21;238,71;240,45;239,85;29.696.400
16 dic 2022;248,55;249,84;243,51;244,69;244,08;86.102.000
15 dic 2022;253,72;254,20;247,34;249,01;248,39;35.560.400
14 dic 2022;257,13;262,59;254,31;257,22;256,58;35.410.900
13 dic 2022;261,69;263,92;253,07;256,92;256,28;42.196.900
12 dic 2022;247,45;252,54;247,17;252,51;251,88;30.665.100
09 dic 2022;244,70;248,31;244,16;245,42;244,81;20.609.700
08 dic 2022;244,84;248,74;243,06;247,40;246,78;22.611.800
07 dic 2022;244,83;246,16;242,21;244,37;243,76;20.481.500
06 dic 2022;250,82;251,86;243,78;245,12;244,51;22.463.700
05 dic 2022;252,01;253,82;248,06;250,20;249,57;23.435.300
02 dic 2022;249,82;256,06;249,69;255,02;254,38;21.528.500
01 dic 2022;253,87;256,12;250,92;254,69;254,05;26.041.500
30 nov 2022;240,57;255,33;239,86;255,14;254,50;47.594.200
29 nov 2022;241,40;242,79;238,21;240,33;239,73;17.956.300
28 nov 2022;246,08;246,65;240,80;241,76;241,16;24.778.200
25 nov 2022;247,31;248,70;246,73;247,49;246,87;9.200.800
23 nov 2022;245,11;248,28;244,27;247,58;246,96;19.508.500
22 nov 2022;243,59;245,31;240,71;245,03;244,42;19.665.700
21 nov 2022;241,43;244,67;241,19;242,05;241,45;26.394.700
18 nov 2022;243,51;243,74;239,03;241,22;240,62;27.613.500
17 nov 2022;237,78;243,25;237,63;241,68;241,08;23.123.500
16 nov 2022;242,79;243,80;240,42;241,73;241,13;24.093.300
15 nov 2022;245,66;247,00;240,03;241,97;240,69;31.390.100
14 nov 2022;241,99;243,91;239,21;241,55;240,27;31.123.300
11 nov 2022;242,99;247,99;241,93;247,11;245,80;34.620.200
10 nov 2022;235,43;243,33;235,00;242,98;241,69;46.268.000
09 nov 2022;227,37;228,63;224,33;224,51;223,32;27.852.900
08 nov 2022;228,70;231,65;225,84;228,87;227,66;28.192.500
07 nov 2022;221,99;228,41;221,28;227,87;226,66;33.498.000
04 nov 2022;217,55;221,59;213,43;221,39;220,22;36.789.100
03 nov 2022;220,09;220,41;213,98;214,25;213,11;36.633.900
02 nov 2022;229,46;231,30;220,04;220,10;218,93;38.407.000
01 nov 2022;234,60;235,74;227,33;228,17;226,96;30.592.300
31 ott 2022;233,76;234,92;231,15;232,13;230,90;28.357.300
28 ott 2022;226,24;236,60;226,05;235,87;234,62;40.647.700
27 ott 2022;231,04;233,69;225,78;226,75;225,55;40.424.600
26 ott 2022;231,17;238,30;230,06;231,32;230,09;82.543.200
25 ott 2022;247,26;251,04;245,83;250,66;249,33;34.775.500
24 ott 2022;243,76;247,84;241,30;247,25;245,94;24.911.200
21 ott 2022;234,74;243,00;234,50;242,12;240,84;26.299.700
20 ott 2022;235,77;241,31;234,87;236,15;234,90;21.811.000
19 ott 2022;237,04;239,61;234,29;236,48;235,23;19.985.700
18 ott 2022;243,24;243,93;235,37;238,50;237,24;26.329.600
17 ott 2022;235,82;238,96;235,14;237,53;236,27;28.142.300
14 ott 2022;235,54;237,24;228,34;228,56;227,35;30.198.600
13 ott 2022;219,85;236,10;219,13;234,24;233,00;42.551.800
12 ott 2022;225,40;227,86;223,96;225,75;224,55;21.903.900
11 ott 2022;227,62;229,06;224,11;225,41;224,21;30.474.000
10 ott 2022;233,05;234,56;226,73;229,25;228,03;29.743.600
