Month,PriceM2
04-2023,22.0
03-2023,21.8
02-2023,21.7
01-2023,21.4
12-2022,21.0
11-2022,20.7
10-2022,20.8
09-2022,20.0
08-2022,20.0
07-2022,20.0
06-2022,20.0
05-2022,20.0
04-2022,20.0
03-2022,20.0
02-2022,20.0
01-2022,19.4
12-2021,18.9
11-2021,18.7
10-2021,19.0
09-2021,18.6
08-2021,18.3
07-2021,18.3
06-2021,18.3
05-2021,17.8
04-2021,17.6
03-2021,17.8
02-2021,18.0
01-2021,18.0
12-2020,18.3
11-2020,18.6
10-2020,18.7
09-2020,18.9
08-2020,19.0
07-2020,19.3
06-2020,20.0
05-2020,20.8
04-2020,20.6
03-2020,20.0
02-2020,20.0
01-2020,20.0
12-2019,19.6
11-2019,19.3
10-2019,19.2
09-2019,19.0
08-2019,18.8
07-2019,18.8
06-2019,19.0
05-2019,18.7
04-2019,18.7
03-2019,18.8
02-2019,18.7
01-2019,18.5
12-2018,18.2
11-2018,17.8
10-2018,17.5
09-2018,17.3
08-2018,17.3
07-2018,17.1
06-2018,17.1
05-2018,17.1
04-2018,17.1
03-2018,17.3
02-2018,17.3
01-2018,17.6
12-2017,17.5
11-2017,17.0
10-2017,16.7
09-2017,16.7
08-2017,16.3
07-2017,16.2
06-2017,16.2
05-2017,16.2
04-2017,16.2
03-2017,16.0
02-2017,15.9
01-2017,15.6
12-2016,15.5
11-2016,15.5
10-2016,15.5
09-2016,15.5
08-2016,15.3
07-2016,15.2
06-2016,15.2
05-2016,15.2
04-2016,15.2
03-2016,15.1
02-2016,15.0
01-2016,14.8
12-2015,14.7
11-2015,14.7
10-2015,14.7
09-2015,14.7
08-2015,14.6
07-2015,14.5
06-2015,14.5
05-2015,14.5
04-2015,14.5
03-2015,14.4
02-2015,14.3
01-2015,14.2
12-2014,14.1
11-2014,14.1
10-2014,14.1
09-2014,14.1
08-2014,14.0
07-2014,13.9
06-2014,13.9
05-2014,13.9
04-2014,13.9
03-2014,13.8
02-2014,13.8
01-2014,13.7
12-2013,13.7
11-2013,13.7
10-2013,13.7
09-2013,13.6
08-2013,13.6
07-2013,13.5
06-2013,13.5
05-2013,13.5
04-2013,13.5
03-2013,13.4
02-2013,13.3
01-2013,13.2
12-2012,13.2
11-2012,13.2
10-2012,13.2
09-2012,13.1
08-2012,13.1
07-2012,13.0
06-2012,13.0
05-2012,13.0
04-2012,13.0
03-2012,13.0
02-2012,13.0
01-2012,12.9
12-2011,12.9
11-2011,12.8
10-2011,12.8
09-2011,12.8
08-2011,12.8
07-2011,12.8
06-2011,12.8
05-2011,12.8
04-2011,12.8
03-2011,12.8
02-2011,12.8
01-2011,12.7
12-2010,12.6
11-2010,12.6
10-2010,12.6
09-2010,12.6
08-2010,12.5
07-2010,12.5
06-2010,12.5
05-2010,12.5
04-2010,12.4
03-2010,12.3
02-2010,12.3
01-2010,12.3
12-2009,12.3
11-2009,12.3
10-2009,12.3
09-2009,12.3
08-2009,12.2
07-2009,12.2
06-2009,12.1
05-2009,12.1
04-2009,12.1
03-2009,12.1
02-2009,12.0
01-2009,11.9
12-2008,11.8
11-2008,11.8
10-2008,11.8
09-2008,11.8
08-2008,11.8
07-2008,11.8
06-2008,11.7
05-2008,11.7
04-2008,11.7
03-2008,11.7
02-2008,11.7
01-2008,11.6
12-2007,11.5
11-2007,11.5
10-2007,11.5
09-2007,11.5
08-2007,11.5
07-2007,11.5
06-2007,11.4
05-2007,11.4
04-2007,11.4
03-2007,11.4
02-2007,11.3
01-2007,11.2
12-2006,11.1
11-2006,11.1
10-2006,11.1
09-2006,11.1
08-2006,11.1
07-2006,11.1
06-2006,11.1
05-2006,11.1
04-2006,11.0
03-2006,11.0
02-2006,10.9
01-2006,10.9
12-2005,10.8
11-2005,10.8
10-2005,10.8
09-2005,10.8
08-2005,10.8
07-2005,10.7
06-2005,10.6
05-2005,10.6
04-2005,10.6
03-2005,10.6
02-2005,10.6
01-2005,10.5
12-2004,10.5
11-2004,10.5
10-2004,10.4
09-2004,10.4
08-2004,10.3
07-2004,10.3
06-2004,10.3
05-2004,10.3
04-2004,10.3
03-2004,10.3
02-2004,10.2
01-2004,10.2
12-2003,10.2
11-2003,10.2
10-2003,10.1
09-2003,10.1
08-2003,10.1
07-2003,10.1
06-2003,10.0
05-2003,9.9
04-2003,9.9
03-2003,9.9
02-2003,9.8
01-2003,9.7
12-2002,9.7
11-2002,9.6
10-2002,9.6
09-2002,9.5
08-2002,9.5
07-2002,9.5
06-2002,9.4
05-2002,9.4
04-2002,9.4
03-2002,9.4
02-2002,9.3
01-2002,9.2
12-2001,9.2
11-2001,9.1
10-2001,9.1
09-2001,9.0
08-2001,9.0
07-2001,9.0
06-2001,9.0
05-2001,8.9
04-2001,8.9
03-2001,8.9
02-2001,8.9
01-2001,8.8
12-2000,8.8
11-2000,8.8
10-2000,8.8
09-2000,8.8
08-2000,8.7
07-2000,8.7
06-2000,8.7
05-2000,8.7
04-2000,8.7
03-2000,8.7
02-2000,8.7
01-2000,8.7